perovskite,BG,Cs,FA,MA,Pb,Sn,I,Br
Cs0.12FA0.83MA0.05PbBr1.2I1.8,1.74,0.12,0.83,0.05,1,0,1.8,1.2
Cs0.13FA0.72MA0.16PbBr0.51I2.49,1.63,0.13,0.72,0.16,1,0,2.49,0.51
Cs0.13FA0.87PbBr0.39I2.61,1.56,0.13,0.87,0,1,0,2.61,0.39
Cs0.13FA0.87PbBrI2,1.72,0.13,0.87,0,1,0,2,1
Cs0.14FA0.83MA0.03PbBr0.51I2.49,1.63,0.14,0.83,0.03,1,0,2.49,0.51
Cs0.15FA0.65MA0.20PbBr0.6I2.4,1.68,0.15,0.65,0.2,1,0,2.4,0.6
Cs0.15FA0.71MA0.14PbBr0.9I2.1,1.7,0.15,0.71,0.14,1,0,2.1,0.9
Cs0.15FA0.75MA0.1PbBr0.1I2.9,1.57,0.15,0.75,0.1,1,0,2.9,0.1
Cs0.15FA0.75MA0.1PbI3,1.554,0.15,0.75,0.1,1,0,3,0
Cs0.15FA0.76MA0.09PbBr0.03I2.97,1.599,0.15,0.76,0.09,1,0,2.97,0.03
Cs0.15FA0.85Pb0.375Sn0.625I3,1.24,0.15,0.85,0,0.375,0.625,3,0
Cs0.15FA0.85PbBr0.12I2.88,1.6,0.15,0.85,0,1,0,2.88,0.12
Cs0.15FA0.85PbBr0.15I2.85,1.55,0.15,0.85,0,1,0,2.85,0.15
Cs0.15FA0.85PbBr0.3I2.7,1.55,0.15,0.85,0,1,0,2.7,0.3
Cs0.15FA0.85PbBr0.45I2.55,1.48,0.15,0.85,0,1,0,2.55,0.45
Cs0.15FA0.85PbBr0.81I2.19,1.72,0.15,0.85,0,1,0,2.19,0.81
Cs0.15FA0.85PbBr0.87I2.13,1.72,0.15,0.85,0,1,0,2.13,0.87
Cs0.15FA0.85PbBr0.9I2.1,1.72,0.15,0.85,0,1,0,2.1,0.9
Cs0.15FA0.85PbBr2.1I0.9,2,0.15,0.85,0,1,0,0.9,2.1
Cs0.15FA0.85PbI3,1.54,0.15,0.85,0,1,0,3,0
Cs0.15MA0.85PbBr0.45I2.55,1.66,0.15,0,0.85,1,0,2.55,0.45
Cs0.15MA0.85PbBr1.2I1.8,1.82,0.15,0,0.85,1,0,1.8,1.2
Cs0.15MA0.85PbI3,1.59,0.15,0,0.85,1,0,3,0
Cs0.16FA0.8MA0.04PbBr1.5I1.5,1.82,0.16,0.8,0.04,1,0,1.5,1.5
Cs0.16FA0.8MA0.04PbBr1.71I1.29,1.89,0.16,0.8,0.04,1,0,1.29,1.71
Cs0.16FA0.8MA0.04PbBr1.83I1.17,1.91,0.16,0.8,0.04,1,0,1.17,1.83
Cs0.17FA0.75MA0.08PbBr0.39I2.61,1.61,0.17,0.75,0.08,1,0,2.61,0.39
Cs0.17FA0.83Pb0.3Sn0.7I3,1.25,0.17,0.83,0,0.3,0.7,3,0
Cs0.17FA0.83Pb0.4Sn0.6I3,1.25,0.17,0.83,0,0.4,0.6,3,0
Cs0.17FA0.83Pb0.5Sn0.5I3,1.26,0.17,0.83,0,0.5,0.5,3,0
Cs0.17FA0.83Pb0.6Sn0.4I3,1.27,0.17,0.83,0,0.6,0.4,3,0
Cs0.17FA0.83Pb0.7Sn0.3I3,1.32,0.17,0.83,0,0.7,0.3,3,0
Cs0.17FA0.83Pb0.8Sn0.2I3,1.34,0.17,0.83,0,0.8,0.2,3,0
Cs0.17FA0.83Pb0.95Sn0.05I3,1.45,0.17,0.83,0,0.95,0.05,3,0
Cs0.17FA0.83Pb0.98Sn0.02I3,1.51,0.17,0.83,0,0.98,0.02,3,0
Cs0.17FA0.83Pb0.995Sn0.005I3,1.52,0.17,0.83,0,0.995,0.005,3,0
Cs0.17FA0.83Pb0.99999Sn0.00001I3,1.51,0.17,0.83,0,0.99999,1.00E-05,3,0
Cs0.17FA0.83Pb0.9999Sn0.0001I3,1.52,0.17,0.83,0,0.9999,0.0001,3,0
Cs0.17FA0.83Pb0.999Sn0.001I3,1.51,0.17,0.83,0,0.999,0.001,3,0
Cs0.17FA0.83Pb0.99Sn0.01I3,1.52,0.17,0.83,0,0.99,0.01,3,0
Cs0.17FA0.83Pb0.9Sn0.1I3,1.41,0.17,0.83,0,0.9,0.1,3,0
Cs0.17FA0.83PbBr0.51I2.49,1.6,0.17,0.83,0,1,0,2.49,0.51
Cs0.17FA0.83PbBr0.6I2.4,1.61,0.17,0.83,0,1,0,2.4,0.6
Cs0.17FA0.83PbBr0.75I2.25,1.68,0.17,0.83,0,1,0,2.25,0.75
Cs0.17FA0.83PbBr0.81I2.19,1.7,0.17,0.83,0,1,0,2.19,0.81
Cs0.17FA0.83PbBr0.8I2.2,1.72,0.17,0.83,0,1,0,2.2,0.8
Cs0.17FA0.83PbBr1.2I1.8,1.72,0.17,0.83,0,1,0,1.8,1.2
Cs0.17FA0.83PbBr1.5I1.5,1.86,0.17,0.83,0,1,0,1.5,1.5
Cs0.17FA0.83PbBr1.8I1.2,1.93,0.17,0.83,0,1,0,1.2,1.8
Cs0.17FA0.83PbBrI2,1.67,0.17,0.83,0,1,0,2,1
Cs0.17FA0.83PbI3,1.56,0.17,0.83,0,1,0,3,0
Cs0.17MA0.83PbI3,1.633,0.17,0,0.83,1,0,3,0
Cs0.18FA0.82PbBr0.24I2.82,1.55,0.18,0.82,0,1,0,2.82,0.24
Cs0.18FA0.83PbBrI2,1.73,0.18,0.83,0,1,0,2,1
Cs0.1FA0.1MA0.8PbI3,1.5,0.1,0.1,0.8,1,0,3,0
Cs0.1FA0.2MA0.7PbI3,1.62,0.1,0.2,0.7,1,0,3,0
Cs0.1FA0.36MA0.54PbBr0.2I2.8,1.59,0.1,0.36,0.54,1,0,2.8,0.2
Cs0.1FA0.54MA0.36PbI3,1.51,0.1,0.54,0.36,1,0,3,0
Cs0.1FA0.747MA0.153PbBr0.51I2.49,1.73,0.1,0.747,0.153,1,0,2.49,0.51
Cs0.1FA0.74MA0.1530PbBr0.51I2.49,1.61,0.1,0.74,0.153,1,0,2.49,0.51
Cs0.1FA0.75MA0.15Pb0.25Sn0.75Br0.5I2.5,1.29,0.1,0.75,0.15,0.25,0.75,2.5,0.5
Cs0.1FA0.75MA0.15Pb0.5Sn0.5Br0.5I2.5,1.31,0.1,0.75,0.15,0.5,0.5,2.5,0.5
Cs0.1FA0.75MA0.15Pb0.75Sn0.25Br0.5I2.5,1.36,0.1,0.75,0.15,0.75,0.25,2.5,0.5
Cs0.1FA0.75MA0.15PbBr0.45I2.55,1.63,0.1,0.75,0.15,1,0,2.55,0.45
Cs0.1FA0.75MA0.15PbBr0.51I2.49,1.63,0.1,0.75,0.15,1,0,2.49,0.51
Cs0.1FA0.75MA0.15PbBr0.55I2.55,1.63,0.1,0.75,0.15,1,0,2.55,0.55
Cs0.1FA0.75MA0.15PbBr0.5I2.5,1.59,0.1,0.75,0.15,1,0,2.5,0.5
Cs0.1FA0.75MA0.15PbBrI2,1.73,0.1,0.75,0.15,1,0,2,1
Cs0.1FA0.75MA0.15SnBr0.5I2.5,1.44,0.1,0.75,0.15,0,1,2.5,0.5
Cs0.1FA0.75MA0.24PbBr0.51I2.49,1.61,0.1,0.75,0.24,1,0,2.49,0.51
Cs0.1FA0.765MA0.135PbBr0.45I2.55,1.611,0.1,0.765,0.135,1,0,2.55,0.45
Cs0.1FA0.76MA0.14PbBr0.51I2.49,1.61,0.1,0.76,0.14,1,0,2.49,0.51
Cs0.1FA0.76MA0.14PbBr0.55I2.55,1.61,0.1,0.76,0.14,1,0,2.55,0.55
Cs0.1FA0.81MA0.09PbBr0.1I2.9,1.55,0.1,0.81,0.09,1,0,2.9,0.1
Cs0.1FA0.85MA0.15PbBr0.45I2.55,1.611,0.1,0.85,0.15,1,0,2.55,0.45
Cs0.1FA0.9PbBr0.09I2.91,1.54,0.1,0.9,0,1,0,2.91,0.09
Cs0.1FA0.9PbBr0.1I2.9,1.55,0.1,0.9,0,1,0,2.9,0.1
Cs0.1FA0.9PbBr0.3I2.7,1.48,0.1,0.9,0,1,0,2.7,0.3
Cs0.1FA0.9PbBr0.6I2.4,1.61,0.1,0.9,0,1,0,2.4,0.6
Cs0.1FA0.9PbBr0.9I2.1,1.7,0.1,0.9,0,1,0,2.1,0.9
Cs0.1FA0.9PbBr3,2.277,0.1,0.9,0,1,0,0,3
Cs0.1FA0.9PbI3,1.48,0.1,0.9,0,1,0,3,0
Cs0.1MA0.9Pb0.25Sn0.75I3,1.26,0.1,0,0.9,0.25,0.75,3,0
Cs0.1MA0.9Pb0.5Sn0.5I3,1.28,0.1,0,0.9,0.5,0.5,3,0
Cs0.1MA0.9Pb0.75Sn0.25I3,1.39,0.1,0,0.9,0.75,0.25,3,0
Cs0.1MA0.9Pb0.7Sn0.255I3,1.39,0.1,0,0.9,0.7,0.255,3,0
Cs0.1MA0.9PbBr1.2I1.8,1.82,0.1,0,0.9,1,0,1.8,1.2
Cs0.1MA0.9PbBrI2,1.77,0.1,0,0.9,1,0,2,1
Cs0.1MA0.9PbI3,1.61,0.1,0,0.9,1,0,3,0
Cs0.1MA0.9SnI3,1.2,0.1,0,0.9,0,1,3,0
Cs0.20MA0.80PbI3,1.57,0.2,0,0.8,1,0,3,0
Cs0.23MA0.77PbI3,1.644,0.23,0,0.77,1,0,3,0
Cs0.25FA0.75Pb0.37Sn0.6255I3,1.24,0.25,0.75,0,0.37,0.6255,3,0
Cs0.25FA0.75Pb0.5Sn0.5I3,1.2,0.25,0.75,0,0.5,0.5,3,0
Cs0.25FA0.75PbBr0.3I2.7,1.57,0.25,0.75,0,1,0,2.7,0.3
Cs0.25FA0.75PbBr0.51I2.49,1.63,0.25,0.75,0,1,0,2.49,0.51
Cs0.25FA0.75PbBr0.60I2.40,1.7,0.25,0.75,0,1,0,2.4,0.6
Cs0.25FA0.75PbBr0.6I2.4,1.68,0.25,0.75,0,1,0,2.4,0.6
Cs0.25FA0.75PbBr0.9I2.1,1.73,0.25,0.75,0,1,0,2.1,0.9
Cs0.25FA0.75PbI3,1.54,0.25,0.75,0,1,0,3,0
Cs0.2FA0.2MA0.6PbI3,1.64,0.2,0.2,0.6,1,0,3,0
Cs0.2FA0.32MA0.48PbBr0.2I2.8,1.607,0.2,0.32,0.48,1,0,2.8,0.2
Cs0.2FA0.65MA0.15PbBr0.55I2.55,1.85,0.2,0.65,0.15,1,0,2.55,0.55
Cs0.2FA0.66MA0.14Pb0.25Sn0.75Br0.5I2.5,1.28,0.2,0.66,0.14,0.25,0.75,2.5,0.5
Cs0.2FA0.66MA0.14Pb0.5Sn0.5Br0.5I2.5,1.31,0.2,0.66,0.14,0.5,0.5,2.5,0.5
Cs0.2FA0.66MA0.14Pb0.75Sn0.25Br0.5I2.5,1.38,0.2,0.66,0.14,0.75,0.25,2.5,0.5
Cs0.2FA0.66MA0.14PbBr0.5I2.5,1.6,0.2,0.66,0.14,1,0,2.5,0.5
Cs0.2FA0.66MA0.14SnBr0.5I2.5,1.42,0.2,0.66,0.14,0,1,2.5,0.5
Cs0.2FA0.72MA0.08PbBr0.03I2.97,1.62,0.2,0.72,0.08,1,0,2.97,0.03
Cs0.2FA0.75MA0.05PbBr0.51I2.49,1.63,0.2,0.75,0.05,1,0,2.49,0.51
Cs0.2FA0.8Pb0.25Sn0.75I3,1.2,0.2,0.8,0,0.25,0.75,3,0
